date,name,type,value
1月25日,广东,东莞市,1
1月25日,广东,阳江市,1
1月25日,广东,湛江市,2
1月25日,广东,肇庆市,2
1月25日,广东,清远市,1
1月25日,安徽,合肥市,3
1月25日,安徽,马鞍山市,3
1月25日,安徽,阜阳市,3
1月25日,安徽,亳州市,2
1月25日,安徽,芜湖市,2
1月25日,安徽,宿州市,2
1月25日,安徽,宣城市,1
1月25日,安徽,六安市,1
1月25日,安徽,淮北市,1
1月25日,安徽,淮南市,1
1月25日,安徽,安庆市,1
1月25日,安徽,黄山市,1
1月25日,黑龙江,齐齐哈尔市,1
1月25日,黑龙江,哈尔滨市,2
1月25日,黑龙江,绥化市,1
1月25日,黑龙江,大庆市,2
1月25日,新疆,伊犁州,1
1月25日,河北,邯郸市,2
1月25日,河北,保定市,2
1月25日,河北,石家庄市,1
1月25日,韩国,韩国,1
1月25日,甘肃,兰州市,2
1月25日,甘肃,定西市,1
1月25日,江西,赣州市,5
1月25日,江西,宜春市,4
1月25日,江西,上饶市,4
1月25日,江西,抚州市,2
1月25日,江西,南昌市,1
1月25日,江西,萍乡市,1
1月25日,江西,吉安市,1
1月25日,山西,晋中市,2
1月25日,山西,阳泉市,1
1月26日,辽宁,丹东市,1
1月26日,辽宁,盘锦市,1
1月25日,广西,南宁市,1
1月25日,广西,柳州市,1
1月25日,广西,北海市,1
1月25日,广西,百色市,1
1月25日,广西,桂林市,5
1月25日,广西,梧州市,1
1月25日,四川,成都市,6
1月25日,四川,绵阳市,3
1月25日,四川,南充市,2
1月25日,四川,甘孜州,2
1月25日,四川,乐山市,1
1月25日,四川,眉山市,1
1月25日,四川,泸州市,1
1月26日,澳门,澳门,3
1月25日,海南,三亚市,2
1月25日,海南,澄迈县,1
1月26日,加拿大,加拿大,1
1月26日,陕西,西安市,4
1月26日,陕西,汉中市,1
1月26日,陕西,铜川市,2
1月25日,宁夏,银川市,1
1月26日,北京,海淀区,3
1月26日,山东,济南市,2
1月26日,山东,青岛市,2
1月26日,山东,滨州市,2
1月26日,山东,济宁市,1
1月26日,新加坡,新加坡,1
1月26日,辽宁,本溪市,1
1月26日,辽宁,沈阳市,1
1月26日,香港,香港,1
1月26日,江苏,镇江市,2
1月26日,福建,福州市,4
1月26日,福建,厦门市,1
1月26日,福建,漳州市,1
1月26日,福建,泉州市,1
1月26日,福建,三明市,3
1月26日,福建,宁德市,1
1月26日,泰国,泰国,1
1月26日,北京,朝阳区,3
1月26日,北京,外地来京,1
1月26日,北京,通州区,2
1月26日,北京,海淀区,1
1月26日,北京,石景山区,1
1月26日,北京,大兴区,1
1月26日,北京,丰台区,1
1月26日,台湾,台湾,1
1月26日,美国,美国,1
1月26日,日本,日本,1
1月26日,福建,福州市,3
1月26日,福建,莆田市,1
1月26日,福建,泉州市,1
1月26日,福建,南平市,1
1月26日,北京,海淀区,2
1月26日,北京,昌平区,2
1月26日,青海,西宁市,3
1月24日,湖北,孝感市,4
1月24日,湖北,武汉市,77
1月24日,湖北,十堰市,4
1月24日,湖北,荆门市,13
1月24日,湖北,仙桃市,8
1月24日,湖北,随州市,5
1月24日,湖北,恩施州,11
1月24日,湖北,鄂州市,1
1月24日,湖北,天门市,3
1月24日,湖北,荆州市,2
1月24日,湖北,黄冈市,52
1月24日,辽宁,沈阳市,1
1月24日,辽宁,大连市,1
1月24日,辽宁,本溪市,1
1月24日,辽宁,铁岭市,2
1月24日,辽宁,朝阳市,1
1月24日,辽宁,葫芦岛市,2
1月24日,甘肃,兰州市,1
1月24日,甘肃,临夏州,1
1月24日,法国,法国,2
1月24日,山西,大同市,1
1月24日,山西,长治市,1
1月24日,山西,运城市,2
1月24日,山西,太原市,1
1月24日,上海,上海市,13
1月24日,山东,德州市,1
1月24日,山东,聊城市,1
1月24日,山东,济宁市,1
1月24日,山东,威海市,1
1月24日,山东,日照市,1
1月24日,山东,临沂市,1
1月24日,江苏,常州市,5
1月24日,江苏,盐城市,1
1月24日,江苏,宿迁市,1
1月24日,江苏,南京市,1
1月24日,江苏,苏州市,1
1月24日,河北,保定市,1
1月24日,河北,承德市,1
1月24日,河北,石家庄市,3
1月24日,河北,沧州市,1
1月24日,重庆,万州区,7
1月24日,重庆,大渡口区,1
1月24日,重庆,九龙坡区,1
1月24日,重庆,长寿区,2
1月24日,重庆,合川区,2
1月24日,重庆,永川区,1
1月24日,重庆,璧山区,2
1月24日,重庆,开州区,2
1月24日,重庆,梁平区,1
1月24日,重庆,城口县,1
1月24日,重庆,丰都县,1
1月24日,重庆,忠县,2
1月24日,重庆,云阳县,1
1月24日,重庆,巫溪县,1
1月24日,重庆,石柱县,3
1月24日,重庆,两江新区,2
1月24日,广东,汕头市,1
1月24日,广东,东莞市,1
1月24日,广东,广州市,7
1月24日,广东,深圳市,5
1月24日,广东,珠海市,2
1月24日,广东,佛山市,3
1月24日,广东,惠州市,2
1月24日,广东,阳江市,2
1月24日,广东,肇庆市,1
1月24日,广东,清远市,1
1月24日,湖南,衡阳市,3
1月24日,湖南,湘潭市,1
1月24日,湖南,邵阳市,2
1月24日,湖南,岳阳市,2
1月24日,湖南,常德市,3
1月24日,湖南,益阳市,4
1月24日,湖南,怀化市,2
1月24日,湖南,娄底市,2
1月24日,黑龙江,哈尔滨市,5
1月24日,安徽,合肥市,4
1月24日,安徽,铜陵市,3
1月24日,安徽,安庆市,3
1月24日,安徽,马鞍山市,4
1月24日,安徽,阜阳市,5
1月24日,安徽,亳州市,3
1月24日,安徽,芜湖市,1
1月24日,安徽,滁州市,1
1月24日,浙江,杭州市,6
1月24日,浙江,宁波市,1
1月24日,浙江,温州市,4
1月24日,浙江,嘉兴市,1
1月24日,浙江,绍兴市,3
